id	value
htd1	सप्तपुरियों\N_NNP के\PSP दर्शन\N_NN से\PSP मिलता\V_VM है\V_VAUX मोक्ष\N_NN !\RD_PUNC
htd2	हिंदू\N_NN धर्म\N_NN में\PSP तीर्थ\N_NN का\PSP बड़ा\JJ महत्व\ है\V_VAUX ।\RD_PUNC
htd3	यूँ\RP_RPD तो\RP_RPD हर\QT_QTF तीर्थ\N_NN बड़ा\JJ और\CC_CCD अहम\JJ है\V_VAUX ,\RD_PUNC लेकिन\CC_CCS सात\QT_QTC स्थानों\N_NN की\PSP बड़ी\JJ महत्ता\N_NN और\CC_CCD मान्यता\N_NN है\V_VAUX ।\RD_PUNC
htd4	ये\DM_DMD सातों\QT_QTC धर्मस्थल\N_NN सात\QT_QTC नगरों\N_NN या\RP_RPD सप्तपुरियों\N_NNP के\PSP रूप\N_NN में\PSP ग्रंथों\N_NN में\PSP वर्णित\V_VM हैं\V_VAUX ।\RD_PUNC
htd5	ऐसा\DM_DMD कहा\V_VM गया\V_VAUX है\V_VAUX कि\CC_CCS चतुर्मास\N_NNP में\PSP इन\DM_DMD सप्तपुरियों\N_NNP का\PSP दर्शन\N_NN मोक्ष\N_NN प्रदान\N_NN करने\V_VM वाला\PSP होता\V_VM है\V_VAUX ।\RD_PUNC
htd6	इसका\DM_DMD नाम\N_NN बनारस\N_NNP या\RP_RPD वाराणसी\N_NNP भी\RP_RPD है\V_VAUX ।\RD_PUNC 
htd7	गंगा\N_NNP किनारे\N_NST यह\PRP भगवान\N_NN शंकर\N_NNP की\PSP प्रसिद्ध\JJ पुरी\N_NN है\V_VAUX ।\RD_PUNC
htd8	मुगल\N_NNP सराय\N_NNP से\PSP अमृतसर\N_NNP तथा\CC_CCD देहरादून\N_NNP जाने\V_VM वाली\PSP मुख्य\N_NN रेलवे\N_NN लाइन\N_NN पर\PSP मुगल\N_NNP सराय\N_NNP स्टेशन\N_NN से\PSP 7\QT_QTC मील\N_NNP पर\PSP काशी\N_NNP और\CC_CCD उससे\PR_PRP 4\QT_QTC मील\N_NN आगे\N_NST बनारस\N_NNP छावनी\N_NN स्टेशन\N_NN है\V_VAUX ।RD_PUNC
htd9	इलाहाबाद\N_NNP के\PSP प्रयाग\N_NNP स्टेशन\N_NN से\PSP भी\RP_RPD एक\QT_QTC सीधी\JJ लाइन\N_NN काशी\N_NNP होते\V_VM हुए\V_VAUX बनारस\N_NNP छावनी\N_NN तक\PSP जाती\V_VM है\V_VAUX ।\RD_PUNC
htd10	पूर्वोत्तर\N_NNP रेलवे\N_NN की\PSP एक\QT_QTC लाइन\N_NN भटनी\N_NNP से\PSP तथा\CC_CCD दूसरी\QT_QTO छपरा\N_NNP से\PSP इलाहाबाद\N_NNP सिटी\N_NN तक\PSP जाती\V_VM है\V_VAUX ।RD_PUNC
htd11	इस\DM_DMD रास्ते\N_NN से\PSP भी\RP_RPD बनारस\N_NNP सिटी\N_NN होते\V_VM हुए\V_VAUX छावनी\N_NNP जा\V_VM सकते\V_VAUX हैं\V_VAUX ।\RD_PUNC 
htd12	पतित\JJ पावनी\JJ गंगा\N_NN हरिद्वार\N_NNP में\PSP पर्वतीय\JJ क्षेत्र\N_NN को\PSP छोड़कर\V_VM समतल\JJ भूमि\N_NN में\PSP प्रवेश\V_VM करती\V_VM हैं\V_VAUX ।\RD_PUNC
htd13	इसलिए\RB हरिद्वार\N_NNP को\PSP गंगा\N_NNP द्वार\N_NN भी\RP_RPD कहते\V_VM हैं\V_VAUX ।\RD_PUNC 
htd14	हरिद्वार\N_NNP में\PSP प्रतिदिन\QT_QTF शाम\N_NN को\PSP होने\V_VM वाली\PSP माँ\NN गंगा\NNP की\PSP आरती\NN के\PSP समय\N_NN श्रद्धालुओं\N_NN की\PSP भीड़\N_NN उमड़\V_VM पड़ती\V_VAUX है\V_VAUX ।\RD_PUNC 
htd15	गंगा\N_NNP नदी\N_NN पर\PSP तैरती\V_VM दीपमालाओं\N_NN का\PSP दृश्य\N_NN देखते\V_VM ही\RP_RPD बनता\V_VM है\V_VAUX  ।\RD_PUNC 
htd16	उत्तर\N_NNP रेलवे\N_NN की\PSP मुगल\N_NNP सराय\N_NNP से\CC_CCS अमृतसर\N_NNP जाने\N_NN वाली\PSP मुख्य\JJ लाइन\N_NN पर\PSP स्टेशन\N_NN है\V_VAUX ।\RD_PUNC 
htd17	लक्सर\N_NNP से\PSP एक\QT_QTC लाइन\N_NN हरिद्वारN_NNP तक\PSP गई\V_VM है\V_VAUX ।\RD_PUNC 
htd18	प्राचीन\JJ काल\N_NN में\PSP पितामह\N_NN ब्रह्माN_NN जी\ ने\PSP कांची\N_NNP में\PSP माँ\N_NN भगवती\N_NNP के\PSP दर्शन\N_NNP के\PSP लिए\PSP दुष्कर\JJ तपस्या\N_NN की\V_VM थी\V_VAUX ।\RD_PUNC 
htd19	तब\N_NST महालक्ष्मी\N_NNP हाथ\N_NNP में\PSP कमल\N_NNP धारण\N_NN किए\V_VM हुए\V_VAUX उनके\PR_PRP सामने\N_NST प्रकट\N_NN हुई\V_VM थीं\V_VAUX ।\RD_PUNC
htd20	दक्षिण\N_NNP रेलवे\N_NN के\PSP चेन्नै\N_NNP स्टेशन\N_NNP से\PSP धनुष्कोटि\N_NNP जाने\N_NN वाली\PSP मुख्य\JJ लाइन\N_NN पर\PSP चेन्नै\N_NNP से\PSP 35\QT_QTC मील\N_NN की\PSP दूरी\N_NN पर\PSP चेंगलपट\N_NNP स्टेशन\N_NN है\V_VAUX ।\RD_PUNC
